忽然浪起	hrlq
昏以为期	hywq
及至始皇	jzsh
见小曰明	jxym
君子不齿	jzbc
蛟龙生焉	jlsy
客何为者	khwz
客喜而笑	kxex
乐彼之园	lbzy
南方有鸟	nfyn
岂无膏沐	qwgm
其下不昧	qxbm
其用不弊	qybb
且往观乎	qwgh
人之好我	rzhw
人之生也	rzsy
日有食之	rysz
如匪浣衣	rfhy
舍之则藏	szzc
珊珊可爱	sska
生刍一束	scys
士贰其行	seqx
弑其君者	sqjz
使我心痗	swxm
示我周行	swzh
施于中谷	syzg
师之所处	szsc
淑慎其身	ssqs
谁适为容	sswr
谁知之者	szzz
体无咎言	twjy
恬淡为上	tdws
惟道是从	wdsc
五月鸣蜩	wymt
洗盏更酌	xzgz
贤哉回也	xzhy
焉得谖草	ydxc
言树之背	yszb
肴核既尽	yhjj
喓喓草虫	yycc
宜其家人	yqjr
益生曰祥	ysyx
以望复关	ywfg
郁乎苍苍	yhcc
云胡不瘳	yhbc
在彼空谷	zbkg
知足者富	zzzf
自伯之东	zbzd
自歌自舞	zgzw
子惠思我	zhsw
子闻之曰	zwzy
百口难辩	bknb
不知合变	bzhb
不可逼视	bkbs
边写边读	bxbd
不可弃也	bkqy
不屈精神	bqjs
超世之杰	cszj
吃天鹅肉	cter
触发特效	cftx
大秤分金	dcfj
东挡西杀	ddxs
箪食瓢饮	dspy
红刀子出	hdzc
好善嫉恶	hsje
牛皮大王	npdw
人生在勤	rszq
神使鬼差	ssgc
一致估计	yzgj
则言不顺	zybs
非道弘人	fdhr
决不回头	jbht
贫血病人	pxbr
北山移文	bsyw
薄言有之	byyz
不居其薄	bjqb
不以兵车	bybc
不亦可乎	bykh
不盈顷筐	byqk
不欲以静	byyj
长桥卧波	cqwb
乘彼垝垣	cbgy
此一时也	cysy
当尧之时	dyzs
道之不行	dzbx
东门之墠	dmzc
东望武昌	dwwc
匪我愆期	fwqq
非以明民	fymm
复守其母	fsqm
伏惟圣朝	fwsc
夫子之道	fzzd
高下相盈	gxxy
归于其居	gyqj
归根曰静	ggyj
何弃之有	hqzy
訇然中开	hrzk
家在西南	jzxn
嗟我怀人	jwhr
筋骨之强	jgzq
静为躁君	jwzj
精之至也	jzzy
乐土乐土	ltlt
乐只君子	lzjz
力不足者	lbzz
轮流做庄	llzz
孟子对曰	mzdy
绵绵若存	mmrc
莫之能守	mzns
能为雌乎	nwch
能无为乎	nwwh
平陈与宋	pcys
岂不尔思	qbes
齐侯之子	qhzz
其可左右	qkzy
其民缺缺	qmqq
其政察察	qzcc
其政闷闷	qzmm
其中有物	qzyw
强国请服	qgqf
亲而誉之	qeyz
人之不善	rzbs
弱国入朝	rgrc
善贷且成	sdqc
上元夫人	syfr
上圆下方	syxf
声色不动	ssbd
圣心备焉	sxby
诗三百篇	ssbp
是谓微明	swwm
食野之蒿	syzh
谁谓河广	swhg
天何言哉	thyz
天下无道	txwd
万物并作	wwbz
往往有得	wwyd
为国效命	wgxm
唯酒无量	wjwl
唯施是畏	wssw
惟义所在	wysz
无以为也	wywy
无声之中	wszz
希言自然	xyzr
行于大道	xydd
曰归曰归	ygyg
烟敛云收	ylys
檐牙高啄	yygz
以邦观邦	ybgb
以补不足	ybbz
一宫之间	ygzj
以其不争	yqbz
一曲清歌	yqqg
一人之心	yrzx
一苇杭之	ywhz
以愚黔首	yyqs
英雄业绩	yxyj
有点自大	ydzd
有蕡其实	yfqs
爰有树檀	yyst
趯趯阜螽	yyfz
置彼周行	zbzh
则如之何	zrzh
则为官长	zwgz
则无不治	zwbz
则以学文	zyxw
知和曰常	zhyc
之子无裳	zzws
诸侯恐惧	zhkj
自今及古	zjjg
子所雅言	zsyy
自遗其咎	zyqj
子知之乎	zzzh
不胜之喜	bszx
不敢掠美	bglm
不肖之徒	bxzt
藏巧于拙	cqyz
抽取灵魂	cqlh
单人独骑	drdj
丢下武器	dxwq
